Vardas         Pavarde        nd1  nd2  nd3  nd4  nd5  nd6  nd7  nd8  nd9  nd10 Egz. 
Vardas129      Pavarde129     0    9    0    6    8    5    0    0    7    0    2    
Vardas13       Pavarde13      8    1    6    4    2    10   9    5    6    0    1    
Vardas130      Pavarde130     9    8    2    6    0    1    10   4    5    6    0    
Vardas131      Pavarde131     8    1    8    8    8    6    2    5    0    2    4    
Vardas132      Pavarde132     4    0    3    3    9    0    5    9    2    2    1    
Vardas133      Pavarde133     9    1    7    4    7    5    7    4    1    5    8    
Vardas134      Pavarde134     7    3    2    6    3    1    3    6    9    4    3    
Vardas135      Pavarde135     7    8    10   9    4    6    7    6    10   1    9    
Vardas136      Pavarde136     2    1    3    1    2    9    2    0    4    10   0    
Vardas137      Pavarde137     9    2    4    8    9    3    1    3    2    3    6    
Vardas138      Pavarde138     0    7    10   9    10   9    6    3    7    4    8    
Vardas139      Pavarde139     5    3    6    3    3    9    2    3    5    5    10   
Vardas14       Pavarde14      1    8    3    1    6    6    9    3    10   1    2    
Vardas140      Pavarde140     10   0    5    3    9    2    4    8    0    10   7    
Vardas141      Pavarde141     0    3    5    6    3    9    6    1    9    9    7    
Vardas142      Pavarde142     10   1    4    8    1    10   3    7    1    1    2    
Vardas143      Pavarde143     8    1    2    8    10   4    2    9    0    4    8    
Vardas144      Pavarde144     8    5    6    2    4    6    2    10   6    4    7    
Vardas145      Pavarde145     7    7    7    6    2    7    7    1    9    8    2    
Vardas146      Pavarde146     5    6    3    9    1    2    7    2    1    6    6    
Vardas147      Pavarde147     4    0    4    1    2    7    0    6    1    8    3    
Vardas148      Pavarde148     3    1    4    0    5    9    5    0    1    1    9    
Vardas149      Pavarde149     0    6    9    6    6    8    6    5    0    8    7    
Vardas15       Pavarde15      7    6    5    1    8    8    3    1    6    2    10   
Vardas150      Pavarde150     0    1    7    6    5    4    4    9    5    1    2    
Vardas151      Pavarde151     1    2    7    0    3    7    5    5    0    6    3    
Vardas152      Pavarde152     5    0    0    8    9    1    1    5    0    1    8    
Vardas153      Pavarde153     6    6    4    10   0    8    1    1    2    5    9    
Vardas154      Pavarde154     7    6    1    8    1    6    2    3    1    9    10   
Vardas155      Pavarde155     7    1    2    8    2    1    5    8    0    2    0    
Vardas156      Pavarde156     3    0    0    1    9    0    9    7    5    4    3    
Vardas157      Pavarde157     9    1    9    2    2    10   9    8    3    5    3    
Vardas158      Pavarde158     7    6    1    10   4    4    7    6    5    10   4    
Vardas159      Pavarde159     10   0    7    9    1    10   6    4    6    8    9    
Vardas16       Pavarde16      2    8    9    1    4    2    2    2    6    1    5    
Vardas160      Pavarde160     7    0    10   9    5    10   4    1    5    0    2    
Vardas161      Pavarde161     1    5    10   0    3    9    9    8    10   6    0    
Vardas162      Pavarde162     6    1    7    2    7    1    10   5    3    2    9    
Vardas163      Pavarde163     0    2    3    2    6    5    0    4    7    5    9    
Vardas164      Pavarde164     2    5    2    9    0    10   7    5    4    3    2    
Vardas165      Pavarde165     1    1    7    5    6    7    5    3    7    2    3    
Vardas166      Pavarde166     4    0    3    3    4    10   6    10   5    3    7    
Vardas167      Pavarde167     9    9    8    2    8    5    7    5    4    5    6    
Vardas168      Pavarde168     4    4    0    4    3    4    8    6    7    5    4    
Vardas169      Pavarde169     0    9    8    2    1    4    5    7    5    8    6    
Vardas17       Pavarde17      7    3    6    3    9    4    5    1    3    3    3    
Vardas170      Pavarde170     10   1    5    5    8    3    6    0    10   9    4    
Vardas171      Pavarde171     5    0    7    9    4    5    6    7    8    7    9    
Vardas172      Pavarde172     4    4    5    9    10   1    2    6    10   8    4    
Vardas173      Pavarde173     0    6    1    4    0    9    0    6    1    0    3    
Vardas174      Pavarde174     7    3    0    5    10   1    8    4    7    3    8    
Vardas175      Pavarde175     3    1    2    6    5    2    4    2    9    5    9    
Vardas176      Pavarde176     7    10   0    4    7    6    10   9    3    6    1    
Vardas177      Pavarde177     2    2    2    6    6    4    7    3    10   4    6    
Vardas178      Pavarde178     1    2    10   0    9    8    1    7    8    10   9    
Vardas179      Pavarde179     6    5    10   0    1    3    9    0    2    5    9    
Vardas18       Pavarde18      6    4    5    6    4    1    3    6    9    2    3    
Vardas180      Pavarde180     3    0    1    2    4    5    5    1    0    4    6    
Vardas181      Pavarde181     3    1    10   4    3    7    0    5    9    9    0    
Vardas182      Pavarde182     1    8    1    1    10   2    4    7    3    5    3    
Vardas183      Pavarde183     8    3    7    5    8    9    3    4    4    9    5    
Vardas184      Pavarde184     3    8    3    1    7    6    3    6    2    3    1    
Vardas185      Pavarde185     9    8    6    7    0    2    5    10   6    3    3    
Vardas186      Pavarde186     5    0    2    4    4    6    4    8    2    3    9    
Vardas187      Pavarde187     8    3    8    4    8    0    3    0    1    9    0    
Vardas188      Pavarde188     4    3    2    2    1    10   0    0    9    0    6    
Vardas189      Pavarde189     9    3    10   6    5    4    2    2    2    7    5    
Vardas19       Pavarde19      6    0    6    1    6    6    7    6    7    0    10   
Vardas190      Pavarde190     7    0    9    7    1    10   8    5    2    9    9    
Vardas191      Pavarde191     0    3    3    9    1    8    8    0    9    6    5    
Vardas192      Pavarde192     6    3    8    4    9    3    9    6    0    3    0    
Vardas193      Pavarde193     10   10   5    0    7    7    1    3    7    6    2    
Vardas194      Pavarde194     6    1    9    6    7    4    9    10   7    6    7    
Vardas195      Pavarde195     4    0    4    9    6    10   4    9    1    3    2    
Vardas196      Pavarde196     6    9    0    9    2    2    10   5    3    9    8    
Vardas197      Pavarde197     1    5    9    9    8    7    3    2    2    3    8    
Vardas198      Pavarde198     6    7    0    4    10   1    8    7    4    9    2    
Vardas199      Pavarde199     3    8    1    3    8    6    2    9    5    10   4    
Vardas2        Pavarde2       7    8    8    9    2    3    3    9    7    4    4    
Vardas20       Pavarde20      10   4    5    0    0    6    6    9    5    5    8    
Vardas200      Pavarde200     1    8    4    8    8    2    5    1    9    9    0    
Vardas201      Pavarde201     7    1    3    10   4    4    1    8    1    2    10   
Vardas202      Pavarde202     2    2    0    0    4    2    6    1    6    7    10   
Vardas203      Pavarde203     3    8    4    6    5    0    6    2    8    1    8    
Vardas204      Pavarde204     3    3    5    4    7    2    5    0    7    10   0    
Vardas205      Pavarde205     5    7    9    8    2    10   5    6    10   2    8    
Vardas206      Pavarde206     3    7    2    3    8    7    5    10   6    10   9    
Vardas207      Pavarde207     9    0    4    8    6    2    10   2    6    1    4    
Vardas208      Pavarde208     2    7    4    3    8    10   9    0    8    10   2    
Vardas209      Pavarde209     3    7    0    8    8    8    8    6    9    4    2    
Vardas21       Pavarde21      2    10   4    7    6    0    3    7    10   4    6    
Vardas210      Pavarde210     0    3    1    1    5    5    5    3    10   1    1    
Vardas211      Pavarde211     1    1    1    2    4    10   2    4    5    5    1    
Vardas212      Pavarde212     9    2    3    5    9    8    8    6    8    3    4    
Vardas213      Pavarde213     9    3    4    6    1    6    2    0    2    2    0    
Vardas214      Pavarde214     1    2    9    3    4    6    4    7    6    6    4    
Vardas215      Pavarde215     0    7    10   4    5    1    10   8    10   6    10   
Vardas216      Pavarde216     0    10   9    4    8    9    4    9    2    9    3    
Vardas217      Pavarde217     5    4    3    0    9    0    3    10   5    3    8    
Vardas218      Pavarde218     8    1    2    9    4    2    8    3    1    8    0    
Vardas219      Pavarde219     1    10   9    3    0    7    1    5    6    4    7    
Vardas22       Pavarde22      7    10   5    1    3    8    8    6    9    1    5    
Vardas220      Pavarde220     5    5    3    3    0    7    5    10   3    0    3    
Vardas221      Pavarde221     6    4    7    9    0    9    5    2    4    10   4    
Vardas222      Pavarde222     9    5    5    9    3    8    0    2    2    0    3    
Vardas223      Pavarde223     2    1    5    1    3    7    6    7    10   1    5    
Vardas224      Pavarde224     0    5    2    1    9    1    4    8    10   2    4    
Vardas225      Pavarde225     2    8    6    4    9    8    4    1    8    8    1    
Vardas226      Pavarde226     8    6    0    5    7    9    8    8    3    1    9    
Vardas227      Pavarde227     4    10   10   8    7    2    4    6    5    8    10   
Vardas228      Pavarde228     9    1    9    2    2    0    2    6    0    7    6    
Vardas229      Pavarde229     0    1    5    0    10   0    8    3    3    3    6    
Vardas23       Pavarde23      10   3    5    5    0    3    8    7    5    8    0    
Vardas230      Pavarde230     4    6    1    1    1    1    4    10   8    3    2    
Vardas231      Pavarde231     10   6    6    0    5    8    4    3    7    2    0    
Vardas232      Pavarde232     5    5    6    8    2    8    4    6    6    5    5    
Vardas233      Pavarde233     5    7    9    2    5    1    0    6    9    7    2    
Vardas234      Pavarde234     4    9    0    1    5    1    5    9    6    6    7    
Vardas235      Pavarde235     7    0    1    6    7    6    10   6    1    0    5    
Vardas236      Pavarde236     10   5    0    7    7    0    10   2    2    8    10   
Vardas237      Pavarde237     1    6    5    7    7    3    5    5    10   5    0    
Vardas238      Pavarde238     3    3    8    5    1    1    5    1    5    1    0    
Vardas239      Pavarde239     10   6    9    4    8    3    8    3    6    5    7    
Vardas24       Pavarde24      9    2    6    8    0    3    1    1    10   5    10   
Vardas240      Pavarde240     10   10   0    6    10   4    8    3    3    4    6    
Vardas241      Pavarde241     1    4    3    1    7    4    1    4    5    3    0    
Vardas242      Pavarde242     3    3    9    5    6    5    1    2    9    10   5    
Vardas243      Pavarde243     7    5    7    2    3    6    2    7    5    7    6    
Vardas244      Pavarde244     5    0    9    10   6    6    10   5    9    2    8    
Vardas245      Pavarde245     4    9    5    0    3    1    2    9    4    1    6    
Vardas246      Pavarde246     8    1    2    5    8    9    3    8    1    8    3    
Vardas247      Pavarde247     8    1    9    4    5    4    10   5    5    2    9    
Vardas248      Pavarde248     1    5    9    2    7    8    7    0    0    10   6    
Vardas249      Pavarde249     2    9    8    4    8    7    3    10   5    0    0    
Vardas25       Pavarde25      6    0    10   1    5    10   4    6    8    7    8    
Vardas250      Pavarde250     8    4    1    2    7    4    0    9    9    5    4    
Vardas251      Pavarde251     6    5    1    6    9    6    5    6    6    3    5    
Vardas252      Pavarde252     1    10   2    9    10   8    7    5    8    1    3    
Vardas253      Pavarde253     4    3    5    1    0    0    6    6    4    3    8    
Vardas254      Pavarde254     9    6    2    7    5    5    8    3    1    10   0    
Vardas255      Pavarde255     8    5    7    8    2    3    7    10   2    1    8    
Vardas256      Pavarde256     2    5    9    8    0    0    9    1    7    8    4    
Vardas257      Pavarde257     3    9    3    1    6    6    2    10   0    7    7    
Vardas258      Pavarde258     5    3    5    0    7    5    6    1    7    6    3    
Vardas259      Pavarde259     4    5    9    6    2    0    1    9    2    9    2    
Vardas26       Pavarde26      2    1    10   1    10   1    8    9    4    2    5    
Vardas260      Pavarde260     10   10   6    1    7    5    4    6    8    5    7    
Vardas261      Pavarde261     7    0    7    5    8    8    3    7    10   2    0    
Vardas262      Pavarde262     9    10   3    2    6    0    5    4    7    8    0    
Vardas263      Pavarde263     3    7    1    8    2    3    7    1    2    7    10   
Vardas264      Pavarde264     2    8    1    6    9    9    7    3    6    9    3    
Vardas265      Pavarde265     8    5    9    6    10   2    8    7    9    9    0    
Vardas266      Pavarde266     7    5    2    0    3    0    9    2    10   0    2    
Vardas267      Pavarde267     9    6    2    0    8    0    10   5    4    7    3    
Vardas268      Pavarde268     10   7    8    7    6    6    6    7    10   8    7    
Vardas269      Pavarde269     1    4    8    10   4    2    5    1    7    2    7    
Vardas27       Pavarde27      5    8    10   9    3    1    2    4    1    0    10   
Vardas270      Pavarde270     10   3    10   9    4    7    7    3    8    7    6    
Vardas271      Pavarde271     7    0    4    0    6    2    2    0    1    4    10   
Vardas272      Pavarde272     0    1    10   9    0    0    6    7    6    10   10   
Vardas273      Pavarde273     1    5    8    5    0    0    8    3    7    6    3    
Vardas274      Pavarde274     0    6    4    2    8    0    10   3    3    7    8    
Vardas275      Pavarde275     5    4    1    8    3    8    4    6    8    8    9    
Vardas276      Pavarde276     6    8    10   2    9    1    5    4    9    10   8    
Vardas277      Pavarde277     1    5    4    4    3    3    1    4    0    8    4    
Vardas278      Pavarde278     5    10   9    0    9    0    6    3    6    2    10   
Vardas279      Pavarde279     10   4    10   6    7    5    3    9    7    9    4    
Vardas28       Pavarde28      2    0    2    10   8    5    0    4    9    3    8    
Vardas280      Pavarde280     6    4    6    6    0    10   4    2    3    8    2    
Vardas281      Pavarde281     4    2    3    2    7    0    9    6    6    9    8    
Vardas282      Pavarde282     3    3    3    5    8    6    5    6    7    4    2    
Vardas283      Pavarde283     0    10   2    3    0    7    0    4    0    5    4    
Vardas284      Pavarde284     5    6    9    4    8    2    3    3    4    0    0    
Vardas285      Pavarde285     1    8    10   10   6    0    8    6    6    4    7    
Vardas286      Pavarde286     9    10   9    1    9    5    8    7    4    2    9    
Vardas287      Pavarde287     4    4    1    0    8    7    6    7    1    5    3    
Vardas288      Pavarde288     2    7    4    1    0    9    2    2    3    1    9    
Vardas289      Pavarde289     4    7    2    2    6    10   3    7    2    2    7    
Vardas29       Pavarde29      8    0    9    3    10   0    4    9    5    10   3    
Vardas290      Pavarde290     4    0    7    4    4    9    3    4    2    8    10   
Vardas291      Pavarde291     10   1    6    8    1    1    1    8    5    1    6    
Vardas292      Pavarde292     0    2    10   10   7    5    2    2    3    2    3    
Vardas293      Pavarde293     4    3    3    2    8    0    3    1    6    0    4    
Vardas294      Pavarde294     9    1    10   9    8    3    10   8    9    2    9    
Vardas295      Pavarde295     0    10   6    2    10   9    5    8    10   7    0    
Vardas296      Pavarde296     8    1    7    10   4    1    0    0    8    10   2    
Vardas297      Pavarde297     4    1    4    7    0    7    2    10   5    10   6    
Vardas298      Pavarde298     10   10   4    3    8    2    0    3    0    3    4    
Vardas299      Pavarde299     0    9    0    10   5    0    3    2    0    9    5    
Vardas3        Pavarde3       10   7    4    3    5    1    2    10   6    1    10   
Vardas30       Pavarde30      1    5    8    4    5    5    4    0    5    6    3    
Vardas300      Pavarde300     0    9    5    8    5    0    5    10   0    9    10   
Vardas301      Pavarde301     9    10   8    8    8    9    2    9    2    6    1    
Vardas302      Pavarde302     1    6    3    5    3    5    1    10   7    4    10   
Vardas303      Pavarde303     2    3    1    1    1    3    4    10   10   9    3    
Vardas304      Pavarde304     0    8    5    1    5    7    1    6    3    1    9    
Vardas305      Pavarde305     3    10   3    6    2    2    0    8    5    0    0    
Vardas306      Pavarde306     7    6    8    1    1    10   3    1    6    0    6    
Vardas307      Pavarde307     10   7    8    9    4    2    0    6    3    1    4    
Vardas308      Pavarde308     7    5    0    2    7    7    6    6    8    7    2    
Vardas309      Pavarde309     7    3    3    2    10   4    8    3    6    5    5    
Vardas31       Pavarde31      4    9    0    7    6    5    8    6    2    6    10   
Vardas310      Pavarde310     9    2    2    2    1    5    0    7    1    4    9    
Vardas311      Pavarde311     4    8    10   4    10   10   8    10   10   0    1    
Vardas312      Pavarde312     5    4    10   1    6    8    3    8    6    8    5    
Vardas313      Pavarde313     1    7    4    6    5    4    0    8    4    4    5    
Vardas314      Pavarde314     2    6    9    6    3    3    3    1    0    2    5    
Vardas315      Pavarde315     3    3    1    6    1    10   6    2    5    6    2    
Vardas316      Pavarde316     9    8    7    3    10   10   1    7    8    5    7    
Vardas317      Pavarde317     3    9    0    5    4    4    0    10   8    3    1    
Vardas318      Pavarde318     7    10   10   3    8    0    4    9    8    9    10   
Vardas319      Pavarde319     10   1    2    7    10   9    6    9    10   7    10   
Vardas32       Pavarde32      8    0    7    10   2    10   4    2    5    5    2    
Vardas320      Pavarde320     8    6    0    10   7    3    5    1    0    3    2    
Vardas321      Pavarde321     8    10   7    4    7    8    0    2    10   8    6    
Vardas322      Pavarde322     2    2    0    8    9    4    1    1    4    0    10   
Vardas323      Pavarde323     2    0    2    6    2    0    4    7    10   2    4    
Vardas324      Pavarde324     7    7    1    8    3    5    9    8    6    1    1    
Vardas325      Pavarde325     0    5    4    5    7    6    9    5    3    9    9    
Vardas326      Pavarde326     8    3    9    8    9    6    1    2    6    2    7    
Vardas327      Pavarde327     8    3    8    4    0    7    8    4    9    8    9    
Vardas328      Pavarde328     5    6    3    4    3    8    6    10   8    9    3    
Vardas329      Pavarde329     9    2    6    9    1    1    2    3    5    4    6    
Vardas33       Pavarde33      0    3    1    5    6    4    9    3    1    4    9    
Vardas330      Pavarde330     7    4    5    8    2    9    10   0    10   9    10   
Vardas331      Pavarde331     2    4    9    10   4    4    6    6    1    9    1    
Vardas332      Pavarde332     4    7    6    2    6    4    10   6    5    6    5    
Vardas333      Pavarde333     8    0    10   8    4    10   3    6    3    9    8    
Vardas334      Pavarde334     6    3    3    5    1    2    8    8    8    7    7    
Vardas335      Pavarde335     9    4    4    8    10   0    4    10   7    8    4    
Vardas336      Pavarde336     10   0    10   3    4    7    1    5    9    8    6    
Vardas337      Pavarde337     6    0    0    8    10   0    2    0    8    8    2    
Vardas338      Pavarde338     6    9    8    10   8    6    4    6    0    9    3    
Vardas339      Pavarde339     2    8    7    6    5    10   3    3    1    7    0    
Vardas34       Pavarde34      4    8    10   6    2    6    3    5    9    7    2    
Vardas340      Pavarde340     1    6    1    1    3    8    3    3    1    9    2    
Vardas341      Pavarde341     6    6    7    8    6    8    2    4    6    0    4    
Vardas342      Pavarde342     8    2    3    5    3    7    8    0    6    9    10   
Vardas343      Pavarde343     9    1    7    8    10   3    6    0    9    8    0    
Vardas344      Pavarde344     0    4    3    1    6    2    10   8    1    3    6    
Vardas345      Pavarde345     1    10   9    2    10   0    0    7    6    5    2    
Vardas346      Pavarde346     1    10   3    0    6    3    9    6    10   2    8    
Vardas347      Pavarde347     2    0    7    8    4    7    9    4    5    4    2    
Vardas348      Pavarde348     6    7    5    4    8    2    10   7    10   8    9    
Vardas349      Pavarde349     7    0    2    2    6    9    1    2    6    3    3    
Vardas35       Pavarde35      8    6    10   7    2    5    0    8    4    1    5    
Vardas350      Pavarde350     6    6    7    2    3    7    7    7    10   6    8    
Vardas351      Pavarde351     8    0    2    5    8    7    2    0    0    0    9    
Vardas352      Pavarde352     10   6    8    6    8    9    2    10   9    6    2    
Vardas353      Pavarde353     10   4    0    9    3    3    10   3    2    9    6    
Vardas354      Pavarde354     0    6    1    2    10   1    3    10   8    1    6    
Vardas355      Pavarde355     5    6    4    3    5    6    8    8    10   9    6    
Vardas356      Pavarde356     10   6    4    8    6    10   3    5    7    8    3    
Vardas357      Pavarde357     0    3    0    4    1    9    1    2    1    7    8    
Vardas358      Pavarde358     3    10   1    2    0    9    8    4    7    9    8    
Vardas359      Pavarde359     7    2    7    10   0    7    5    0    1    9    8    
Vardas36       Pavarde36      0    6    3    2    5    7    3    2    1    1    2    
Vardas360      Pavarde360     7    8    9    7    8    6    1    1    3    4    10   
Vardas361      Pavarde361     8    6    7    2    1    10   6    2    4    10   1    
Vardas362      Pavarde362     4    6    2    6    7    2    2    3    1    2    9    
Vardas363      Pavarde363     2    3    0    6    9    10   6    0    0    5    4    
Vardas364      Pavarde364     8    6    7    9    5    10   8    6    0    7    10   
Vardas365      Pavarde365     0    4    4    10   0    5    5    0    6    1    0    
Vardas366      Pavarde366     9    7    3    4    6    8    8    4    2    9    8    
Vardas367      Pavarde367     3    0    3    7    1    6    2    10   6    5    7    
Vardas368      Pavarde368     2    1    7    4    6    4    10   6    7    10   1    
Vardas369      Pavarde369     10   5    4    7    3    9    5    1    10   7    5    
Vardas37       Pavarde37      4    3    3    3    10   6    10   5    6    4    3    
Vardas370      Pavarde370     4    10   0    4    3    1    3    2    2    7    10   
Vardas371      Pavarde371     1    4    10   6    9    6    1    7    1    10   5    
Vardas372      Pavarde372     5    1    4    8    1    0    0    7    4    7    9    
Vardas373      Pavarde373     8    7    10   2    0    8    3    4    7    7    4    
Vardas374      Pavarde374     5    4    4    3    1    7    8    2    4    0    8    
Vardas375      Pavarde375     7    0    8    8    4    3    1    2    4    5    2    
Vardas376      Pavarde376     4    3    0    2    9    8    3    6    7    2    0    
Vardas377      Pavarde377     7    10   9    4    9    6    0    2    5    7    5    
Vardas378      Pavarde378     0    5    4    4    2    9    2    6    1    0    10   
Vardas379      Pavarde379     3    9    6    4    9    0    1    5    9    4    6    
Vardas38       Pavarde38      10   1    3    4    7    2    6    2    9    4    4    
Vardas380      Pavarde380     8    4    0    8    8    5    2    8    9    4    4    
Vardas381      Pavarde381     10   5    8    10   8    7    0    3    4    9    1    
Vardas382      Pavarde382     4    0    0    7    4    2    2    10   4    4    1    
Vardas383      Pavarde383     8    10   5    3    9    7    7    6    7    7    6    
Vardas384      Pavarde384     7    3    6    7    2    9    1    2    1    1    9    
Vardas385      Pavarde385     1    2    1    1    2    9    5    9    0    1    10   
Vardas386      Pavarde386     2    9    2    9    7    3    9    0    10   10   4    
Vardas387      Pavarde387     3    8    8    5    7    9    0    2    0    5    5    
Vardas388      Pavarde388     5    5    2    2    5    7    10   2    7    1    9    
Vardas389      Pavarde389     8    7    6    3    7    8    10   0    10   1    5    
Vardas39       Pavarde39      6    5    5    1    7    5    1    4    1    5    4    
Vardas390      Pavarde390     3    0    4    2    4    0    4    8    7    3    9    
Vardas391      Pavarde391     10   2    9    4    6    7    10   2    0    1    9    
Vardas392      Pavarde392     7    6    9    7    1    2    6    0    5    2    5    
Vardas393      Pavarde393     9    3    1    8    6    9    5    3    5    6    8    
Vardas394      Pavarde394     9    2    1    0    8    8    8    2    6    5    7    
Vardas395      Pavarde395     8    7    2    9    9    1    1    6    2    10   0    
Vardas396      Pavarde396     1    1    7    8    8    3    8    8    7    5    4    
Vardas397      Pavarde397     10   2    6    3    1    5    7    5    7    2    7    
Vardas398      Pavarde398     3    8    3    2    8    3    7    7    5    7    1    
Vardas399      Pavarde399     3    5    9    8    6    1    4    5    9    3    8    
Vardas4        Pavarde4       10   2    2    10   2    8    9    3    0    1    0    
Vardas40       Pavarde40      5    6    1    8    1    2    9    8    9    9    1    
Vardas400      Pavarde400     10   10   6    7    2    1    9    2    1    10   9    
Vardas401      Pavarde401     1    9    9    0    0    5    8    4    2    4    0    
Vardas402      Pavarde402     10   9    2    4    7    0    7    3    8    3    8    
Vardas403      Pavarde403     4    9    0    10   1    6    0    1    5    10   0    
Vardas404      Pavarde404     9    3    2    1    10   5    10   1    1    7    5    
Vardas405      Pavarde405     2    7    8    2    10   5    10   2    6    9    4    
Vardas406      Pavarde406     4    0    0    4    6    1    8    1    10   2    6    
Vardas407      Pavarde407     5    0    1    3    4    4    8    0    1    8    4    
Vardas408      Pavarde408     4    3    1    10   4    4    9    8    3    0    7    
Vardas409      Pavarde409     3    3    2    0    0    2    6    4    4    3    4    
Vardas41       Pavarde41      10   6    5    9    1    6    5    3    3    6    9    
Vardas410      Pavarde410     2    2    9    9    2    5    7    8    8    3    1    
Vardas411      Pavarde411     3    5    2    9    9    9    5    0    10   3    7    
Vardas412      Pavarde412     8    2    3    4    3    9    5    2    1    4    2    
Vardas413      Pavarde413     2    8    10   7    8    4    8    5    0    10   0    
Vardas414      Pavarde414     5    0    8    2    9    7    2    1    6    4    6    
Vardas415      Pavarde415     4    0    1    7    4    0    3    8    7    3    10   
Vardas416      Pavarde416     0    2    3    0    0    0    8    6    0    9    5    
Vardas417      Pavarde417     3    3    9    9    5    3    5    6    9    0    4    
Vardas418      Pavarde418     7    4    2    8    10   10   1    10   0    1    5    
Vardas419      Pavarde419     6    0    2    5    1    0    6    8    6    2    10   
Vardas42       Pavarde42      10   7    10   10   0    3    10   4    7    4    10   
Vardas420      Pavarde420     9    8    0    5    1    2    3    9    9    8    10   
Vardas421      Pavarde421     3    1    8    0    7    6    9    10   10   0    8    
Vardas422      Pavarde422     9    6    2    2    8    10   7    1    8    6    10   
Vardas423      Pavarde423     6    4    5    9    4    0    8    9    2    6    6    
Vardas424      Pavarde424     7    0    3    5    8    8    10   4    9    1    4    
Vardas425      Pavarde425     7    1    9    4    6    10   10   2    5    8    9    
Vardas426      Pavarde426     7    6    0    6    9    2    1    9    6    7    10   
Vardas427      Pavarde427     7    10   10   2    0    1    2    1    9    10   9    
Vardas428      Pavarde428     6    5    5    1    7    7    0    3    0    4    3    
Vardas429      Pavarde429     1    3    10   5    10   1    1    1    9    7    2    
Vardas43       Pavarde43      1    5    6    7    6    3    7    1    2    0    0    
Vardas430      Pavarde430     0    3    5    2    7    5    5    0    6    0    0    
Vardas431      Pavarde431     4    2    9    3    2    2    7    0    4    7    8    
Vardas432      Pavarde432     2    8    9    4    6    7    0    7    0    3    3    
Vardas433      Pavarde433     5    3    7    8    0    9    10   9    3    1    10   
Vardas434      Pavarde434     5    6    6    0    6    5    6    6    9    0    4    
Vardas435      Pavarde435     9    7    8    3    10   7    7    5    5    0    5    
Vardas436      Pavarde436     2    0    6    10   6    10   10   2    6    0    0    
Vardas437      Pavarde437     8    3    7    3    1    10   2    6    2    5    3    
Vardas438      Pavarde438     8    1    0    10   10   9    2    4    0    4    9    
Vardas439      Pavarde439     4    8    5    3    0    4    1    6    7    2    3    
Vardas44       Pavarde44      4    4    1    1    8    7    3    7    4    0    4    
Vardas440      Pavarde440     3    1    2    3    7    6    10   4    1    9    3    
Vardas441      Pavarde441     5    10   8    5    5    7    6    4    3    1    0    
Vardas442      Pavarde442     8    4    10   6    4    6    5    6    2    9    4    
Vardas443      Pavarde443     0    1    1    6    4    6    2    7    8    7    5    
Vardas444      Pavarde444     3    2    0    5    1    8    10   1    1    6    1    
